school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,last_updated_on,breakdown_or_running_late,school_age_or_prek,how_long_delayed,incident_number
2015-2016,1227538,Special Ed AM Run,2621,J711,Heavy Traffic,75003,2015-11-05T08:10:00.000,2015-11-05T08:12:00.000,New Jersey,"RELIANT TRANS, INC. (B232",11,Yes,No,Yes,2015-11-05T08:12:00.000,2015-11-05T08:12:14.000,Running Late,School-Age,,
2015-2016,1227539,Special Ed AM Run,1260,M351,Heavy Traffic,06716,2015-11-05T08:10:00.000,2015-11-05T08:12:00.000,Manhattan,HOYT TRANSPORTATION CORP.,2,Yes,Yes,No,2015-11-05T08:12:00.000,2015-11-05T08:13:34.000,Running Late,School-Age,20MNS,
2015-2016,1227540,Pre-K/EI,418,3,Heavy Traffic,C445,2015-11-05T08:09:00.000,2015-11-05T08:13:00.000,Bronx,"G.V.C., LTD.",8,Yes,Yes,Yes,2015-11-05T08:13:00.000,2015-11-05T08:13:22.000,Running Late,Pre-K,15MIN,
2015-2016,1227541,Special Ed AM Run,4522,M271,Heavy Traffic,02699,2015-11-05T08:12:00.000,2015-11-05T08:14:00.000,Manhattan,"RELIANT TRANS, INC. (B232",6,No,No,No,2015-11-05T08:14:00.000,2015-11-05T08:14:04.000,Running Late,School-Age,15 MIN,
2015-2016,1227542,Special Ed AM Run,3124,M373,Heavy Traffic,02116,2015-11-05T08:13:00.000,2015-11-05T08:14:00.000,Manhattan,"RELIANT TRANS, INC. (B232",6,No,No,No,2015-11-05T08:14:00.000,2015-11-05T08:14:08.000,Running Late,School-Age,,
2015-2016,1227543,Special Ed AM Run,HT1502,W796,Heavy Traffic,75407,2015-11-05T07:58:00.000,2015-11-05T08:14:00.000,Westchester,CHILDREN`S TRANS INC. (B2,1,Yes,Yes,Yes,2015-11-05T08:14:00.000,2015-11-05T08:14:15.000,Running Late,School-Age,30 min,
2015-2016,1227544,Special Ed AM Run,142,W633,Heavy Traffic,75670,2015-11-05T08:24:00.000,2015-11-05T08:15:00.000,Westchester,MAR-CAN TRANSPORT CO. INC,3,Yes,No,No,2015-11-05T08:15:00.000,2015-11-05T08:16:53.000,Running Late,School-Age,20MINS,
2015-2016,1227545,Special Ed AM Run,1417,M678,Heavy Traffic,03417,2015-11-05T08:15:00.000,2015-11-05T08:16:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-05T08:16:00.000,2015-11-05T08:16:22.000,Running Late,School-Age,15,
2015-2016,1227546,Special Ed AM Run,56102,M126,Heavy Traffic,01450,2015-11-05T07:55:00.000,2015-11-05T08:17:00.000,Manhattan,CONSOLIDATED BUS TRANS. I,5,Yes,Yes,Yes,2015-11-05T08:17:00.000,2015-11-05T08:17:07.000,Running Late,School-Age,30 mins,
2015-2016,1227547,Special Ed AM Run,1344,M922,Heavy Traffic,02930,2015-11-05T08:16:00.000,2015-11-05T08:17:00.000,Manhattan,LEESEL TRANSP CORP (B2192,3,Yes,Yes,No,2015-11-05T08:17:00.000,2015-11-05T08:17:03.000,Running Late,School-Age,20,
